vatn_lnr	x_coordWGS	y_coordWGS
69	8.737854289	59.83574249
282	11.6275604	61.15767378
331	11.52208247	59.10063412
368	11.90207964	60.09764117
716	13.16882081	65.06710674
806	15.41048313	66.75356212
1001	16.04508932	68.08597474
1094	7.563858386	59.58272403
1174	7.308764523	58.74887103
1373	6.976234629	58.63211069
1431	6.735422556	58.48877108
1545	5.867287226	58.56276798
1651	6.493806672	61.34421383
1935	6.183566042	61.98775938
2430	30.85910638	70.34170464
2437	29.11884545	69.94010993
2456	28.95473846	69.27195158
2474	30.66720082	69.69150491
3238	11.76248907	59.77422845
3555	11.6778791	59.11542312
3838	11.66523781	60.556645
5114	10.75707333	60.10520968
5269	10.14520628	59.97221031
5742	10.1036272	59.6371339
5828	11.00110206	59.40271524
5844	10.96908186	59.34441352
5961	9.305582877	59.89207673
7272	9.730463954	60.36662231
9219	7.954483088	58.7463843
9534	8.963087559	58.69217138
10127	8.544523838	58.59643758
10305	7.20444712	58.54989131
10926	7.973850952	58.38866313
11078	7.679678675	58.31902899
11095	7.158552158	58.30424948
11147	7.924447617	58.2934688
11292	6.992603418	58.22903344
11373	7.452242799	58.20757523
11592	7.665663934	58.11909726
13194	8.116061669	59.62931686
13592	7.114334783	59.4960083
14277	7.715757922	59.29747518
14367	8.843789698	59.2722732
14534	7.242493108	59.20990061
15100	7.445520347	59.0759835
15177	7.378440319	59.0596478
21049	6.419589892	58.52417972
21186	6.188943699	58.48700463
21438	6.212963105	58.41617709
21797	6.493814921	58.28627953
22101	5.430482787	59.8722718
22548	6.024238987	59.54435579
23386	6.353889024	59.81530784
26267	5.505261514	60.72891616
28197	5.164808041	61.6741028
31047	5.786374624	62.04337234
31186	7.522910404	62.82213512
34660	8.843370734	62.2780578
35326	11.8976142	62.6057536
36436	8.770949081	63.29230297
40844	10.97421074	64.28040425
45724	15.95883843	67.75659062
48048	13.32650808	68.05403752
50879	17.31657607	69.24335108
63664	29.18520097	69.86779438
64217	30.6017201	69.70881439
64278	29.74676168	69.70551086
64684	29.813285	69.57107481
64713	30.77983388	69.55056885
64799	29.45965247	69.53604648
